62,60,59,58,58,57,55,53,49,46,46,42,40,39,DS.steepness.P,daen
58,56,55,54,55,54,52,51,47,44,44,39,37,40,DS.steepness.P,octo
60,58,57,56,56,55,54,54,50,47,47,44,42,41,DS.steepness.P,dire
61,59,58,57,57,56,53,52,48,45,45,43,41,42,DS.steepness.P,wolo
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.steep.D,macy
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.steep.D,nige
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.steep.D,rodr
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.steep.D,balu
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.steep.D,egm
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.steep.D,max
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.steep.D,lego
23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.steep.D,schm
12,14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.steep.D,larr
3,3,3,7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,DS.steep.D,scar
30,29,25,23,19,19,NA,NA,NA,NA,NA,NA,NA,NA,DS.steep.D,raje
34,32,34,36,34,31,NA,NA,NA,NA,NA,NA,NA,NA,DS.steep.D,carm
15,15,14,14,13,12,17,NA,NA,NA,NA,NA,NA,NA,DS.steep.D,ring
21,21,19,17,17,18,20,17,NA,NA,NA,NA,NA,NA,DS.steep.D,talu
17,17,15,16,14,14,12,18,NA,NA,NA,NA,NA,NA,DS.steep.D,gimp
18,18,26,25,26,26,24,23,NA,NA,NA,NA,NA,NA,DS.steep.D,bone
39,39,36,33,40,32,30,29,NA,NA,NA,NA,NA,NA,DS.steep.D,uthe
33,28,28,26,20,17,16,14,13,NA,NA,NA,NA,NA,DS.steep.D,flo
9,8,11,12,12,15,14,13,18,NA,NA,NA,NA,NA,DS.steep.D,tyle
7,7,7,10,10,9,15,21,19,NA,NA,NA,NA,NA,DS.steep.D,mori
37,37,37,37,36,36,36,33,30,25,NA,NA,NA,NA,DS.steep.D,floinf15
8,10,10,9,7,7,5,5,7,8,9,NA,NA,NA,DS.steep.D,fay
42,40,39,34,33,38,38,38,35,29,23,NA,NA,NA,DS.steep.D,wokb
31,30,27,30,29,25,22,30,29,27,27,21,NA,NA,DS.steep.D,ging
40,36,35,35,37,35,35,34,33,38,32,27,NA,NA,DS.steep.D,ocea
1,1,1,1,1,1,1,1,1,1,1,1,1,1,DS.steep.D,sash
2,2,2,2,2,2,2,2,2,2,2,2,2,2,DS.steep.D,panc
10,9,8,6,6,5,6,6,4,3,3,3,3,3,DS.steep.D,flyn
5,5,4,5,4,4,4,4,5,5,5,5,5,4,DS.steep.D,lucy
6,6,6,4,3,3,3,3,3,4,4,4,4,5,DS.steep.D,saff
4,4,5,3,5,6,7,7,6,6,6,7,6,6,DS.steep.D,coco
11,11,9,8,8,8,8,8,8,7,8,6,7,7,DS.steep.D,spoc
20,19,18,18,16,13,11,9,9,9,7,8,8,8,DS.steep.D,fent
13,12,12,11,9,11,10,11,10,10,10,9,9,9,DS.steep.D,socr
24,23,21,20,21,21,19,16,14,14,11,10,10,10,DS.steep.D,sarg
22,22,20,19,18,20,18,15,15,13,14,11,11,11,DS.steep.D,swaz
36,34,32,31,30,29,25,25,16,15,16,12,15,12,DS.steep.D,puck
27,26,24,24,25,23,23,19,17,17,18,15,14,13,DS.steep.D,cura
44,41,40,39,35,34,33,35,26,23,17,22,17,14,DS.steep.D,gizm
48,46,45,44,45,44,43,43,40,31,29,14,12,15,DS.steep.D,razo
35,33,31,29,31,30,29,24,23,18,15,16,16,16,DS.steep.D,lore
52,49,47,47,46,45,42,37,32,28,26,17,22,17,DS.steep.D,hect
38,38,38,38,38,37,37,36,31,30,30,30,27,18,DS.steep.D,caba
47,45,44,43,39,39,32,20,21,21,20,24,19,19,DS.steep.D,funk
29,27,30,27,28,28,26,26,22,19,21,20,18,20,DS.steep.D,cola
53,50,49,46,44,40,34,32,27,24,22,18,21,21,DS.steep.D,cind
32,31,29,28,27,27,28,27,24,16,19,19,25,22,DS.steep.D,magn
14,13,13,13,11,10,9,10,11,11,13,23,24,23,DS.steep.D,phoe
16,16,16,15,15,16,13,12,12,12,12,13,13,24,DS.steep.D,holl
25,25,23,22,24,22,21,22,20,20,24,26,23,25,DS.steep.D,xavi
26,24,22,21,22,24,27,28,25,22,25,25,20,26,DS.steep.D,swee
50,48,48,48,47,46,44,42,38,33,37,31,31,27,DS.steep.D,oreo
46,44,42,41,41,43,40,41,37,35,34,32,32,28,DS.steep.D,home
51,51,50,49,49,50,48,48,43,41,40,41,38,29,DS.steep.D,guge
41,35,33,32,32,33,31,31,28,26,28,28,26,30,DS.steep.D,dori
43,42,41,40,43,42,41,40,36,34,35,35,33,31,DS.steep.D,egon
59,57,56,55,53,49,47,45,42,37,33,33,30,32,DS.steep.D,cact
58,56,55,54,54,53,49,44,41,39,36,36,29,33,DS.steep.D,omni
55,53,53,52,55,54,52,51,46,44,43,40,39,34,DS.steep.D,pean
49,47,46,45,48,47,46,47,44,40,39,37,37,35,DS.steep.D,wood
45,43,43,42,42,41,39,39,34,32,31,29,28,36,DS.steep.D,pino
62,60,59,58,58,57,55,53,49,46,44,42,40,37,DS.steep.D,daen
56,55,54,53,52,52,51,50,47,43,42,38,36,38,DS.steep.D,gats
57,54,52,51,51,48,45,46,39,36,38,34,34,39,DS.steep.D,fina
54,52,51,50,50,51,50,49,45,42,41,39,35,40,DS.steep.D,octo
60,58,57,56,56,55,54,54,50,47,46,44,42,41,DS.steep.D,dire
61,59,58,57,57,56,53,52,48,45,45,43,41,42,DS.steep.D,wolo
13,14,16,7,8,6,4,5,5,4,4,NA,NA,NA,P&C.4,fay
17,17,8,12,10,7,5,12,13,5,5,3,3,4,P&C.4,flyn
1,1,3,1,1,3,3,2,2,2,2,2,2,1,P&C.4,sash
26,28,24,29,24,25,22,23,22,23,24,38,NA,NA,P&C.4,ging
15,8,15,10,16,14,12,8,9,10,10,9,9,12,P&C.4,lucy
5,5,6,6,9,10,16,18,44,NA,NA,NA,NA,NA,P&C.4,mori
19,16,17,17,17,16,14,10,11,12,12,14,16,17,P&C.4,phoe
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.4,lego
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.4,max
29,29,29,31,30,37,NA,NA,NA,NA,NA,NA,NA,NA,P&C.4,carm
2,2,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.4,scar
3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.4,larr
14,15,13,9,14,8,11,7,8,9,9,8,8,11,P&C.4,coco
7,6,45,22,51,31,42,44,NA,NA,NA,NA,NA,NA,P&C.4,bone
4,4,4,4,4,2,2,3,4,3,3,4,4,6,P&C.4,panc
32,27,22,28,21,23,20,17,16,14,18,18,18,20,P&C.4,dori
36,33,31,32,31,29,30,30,35,34,39,43,NA,NA,P&C.4,ocea
8,7,7,8,5,11,9,6,3,NA,NA,NA,NA,NA,P&C.4,tyle
30,23,20,27,19,18,17,14,14,NA,NA,NA,NA,NA,P&C.4,flo
38,37,39,36,35,33,33,31,25,22,21,20,22,13,P&C.4,gizm
12,12,11,15,13,13,6,13,6,6,6,5,6,7,P&C.4,spoc
24,18,9,13,11,9,8,NA,NA,NA,NA,NA,NA,NA,P&C.4,ring
35,32,30,30,27,27,28,27,32,28,25,NA,NA,NA,P&C.4,wokb
21,21,19,18,18,17,15,11,12,13,13,15,17,19,P&C.4,holl
11,13,12,5,7,5,7,4,7,7,7,6,5,9,P&C.4,saff
20,19,18,14,12,22,19,15,NA,NA,NA,NA,NA,NA,P&C.4,talu
25,20,14,16,15,12,10,46,NA,NA,NA,NA,NA,NA,P&C.4,gimp
46,45,42,40,38,40,37,33,29,30,26,23,28,33,P&C.4,hect
37,36,32,33,32,4,NA,NA,NA,NA,NA,NA,NA,NA,P&C.4,raje
33,35,26,23,25,21,24,25,19,20,15,16,20,2,P&C.4,puck
28,26,28,25,28,28,27,26,21,21,16,13,13,15,P&C.4,cola
22,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.4,schm
45,43,41,38,41,39,36,32,28,27,29,22,24,22,P&C.4,oreo
42,41,37,37,34,32,31,29,24,25,19,19,15,18,P&C.4,cind
44,44,44,43,40,38,35,35,27,26,27,21,23,23,P&C.4,fina
31,24,21,19,20,19,18,16,15,8,8,7,7,10,P&C.4,fent
57,55,54,53,53,52,48,48,43,42,41,37,37,39,P&C.4,wolo
41,34,34,35,46,48,53,54,NA,NA,NA,NA,NA,NA,P&C.4,uthe
52,51,50,49,45,44,44,39,37,35,32,30,30,34,P&C.4,cact
49,46,43,42,42,50,38,34,30,29,30,33,29,25,P&C.4,omni
51,50,49,48,48,47,43,41,39,38,38,29,32,30,P&C.4,pean
34,39,35,26,33,30,29,28,23,24,17,17,14,16,P&C.4,lore
10,11,10,11,6,15,13,9,10,11,11,12,12,5,P&C.4,socr
62,59,59,55,55,56,54,50,50,47,45,42,41,36,P&C.4,daen
23,25,23,20,23,24,21,19,17,16,28,26,21,27,P&C.4,swee
39,38,33,34,36,34,25,20,20,17,20,27,19,21,P&C.4,funk
53,52,51,50,49,49,46,47,42,41,40,36,36,38,P&C.4,gats
48,48,46,45,44,42,40,38,33,33,33,28,31,29,P&C.4,home
16,22,25,21,22,20,23,37,36,32,46,44,42,42,P&C.4,xavi
60,58,58,58,58,55,52,53,48,46,44,41,40,41,P&C.4,dire
58,57,57,57,56,54,50,51,47,45,42,39,39,40,P&C.4,wood
59,56,56,54,54,53,49,49,46,43,43,40,38,35,P&C.4,octo
43,42,38,39,37,35,32,22,26,15,22,25,26,24,P&C.4,magn
40,40,40,41,39,36,34,24,34,19,23,11,11,14,P&C.4,razo
27,31,27,24,26,26,26,21,18,18,14,10,10,8,P&C.4,sarg
50,49,48,47,47,43,41,40,38,36,34,31,33,28,P&C.4,caba
55,54,52,51,50,45,45,42,40,37,36,32,34,37,P&C.4,pino
56,53,53,52,52,46,47,43,41,40,37,35,35,32,P&C.4,guge
47,47,47,44,43,41,39,36,31,31,31,24,25,26,P&C.4,egon
6,9,1,3,3,1,1,1,1,1,1,1,1,3,P&C.4,swaz
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.4,macy
54,30,36,46,29,51,51,45,45,39,35,34,27,31,P&C.4,cura
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.4,rodr
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.4,balu
61,60,55,56,57,57,55,52,49,44,NA,NA,NA,NA,P&C.4,floinf15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.4,nige
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P&C.4,egm
15,13,15,10,6,10,5,5,5,4,4,NA,NA,NA,P&C.2,fay
10,15,9,12,8,4,6,14,14,5,5,3,2,3,P&C.2,flyn
